03-11-2021,Symbol,Name,Price,Change,% Change,Volume,Avg Vol,Market Cap,PE Ratio,url
55,MARA,,41.81,+3.62,+9.48%,18.825M,,3.928B,N/A,https://finance.yahoo.com/quote/MARA?p=MARA
56,MRO,,12.51,+0.29,+2.37%,18.163M,,9.871B,N/A,https://finance.yahoo.com/quote/MRO?p=MRO
57,ET,,8.36,-0.22,-2.56%,16.951M,,22.601B,N/A,https://finance.yahoo.com/quote/ET?p=ET
58,TEVA,,11.03,-0.23,-2.04%,17.532M,,11.793B,N/A,https://finance.yahoo.com/quote/TEVA?p=TEVA
59,C,,73.31,-0.44,-0.60%,17.199M,,153.021B,,https://finance.yahoo.com/quote/C?p=C
60,CMCSA,,56.89,-0.32,-0.56%,17.49M,,260.594B,,https://finance.yahoo.com/quote/CMCSA?p=CMCSA
61,KO,,50.88,-0.56,-1.09%,17.418M,,219.258B,,https://finance.yahoo.com/quote/KO?p=KO
62,UBER,,58.95,+1.27,+2.20%,16.767M,,109.549B,N/A,https://finance.yahoo.com/quote/UBER?p=UBER
63,DKNG,,71.61,+2.32,+3.35%,17.065M,,28.479B,N/A,https://finance.yahoo.com/quote/DKNG?p=DKNG
64,RKT,,25.83,-0.12,-0.46%,16.891M,,51.258B,N/A,https://finance.yahoo.com/quote/RKT?p=RKT
65,X,,22.33,+1.47,+7.05%,16.211M,,6.002B,N/A,https://finance.yahoo.com/quote/X?p=X
66,SIRI,,6.14,+0.08,+1.32%,18.31M,,25.419B,,https://finance.yahoo.com/quote/SIRI?p=SIRI
67,UAL,,54.06,+0.14,+0.26%,17.141M,,17.217B,N/A,https://finance.yahoo.com/quote/UAL?p=UAL
68,SWN,,4.4200,+0.0200,+0.45%,16.385M,,2.981B,N/A,https://finance.yahoo.com/quote/SWN?p=SWN
69,ACB,,10.59,+0.74,+7.51%,15.263M,,2.084B,,https://finance.yahoo.com/quote/ACB?p=ACB
70,SPCE,,33.58,+2.99,+9.77%,15.619M,,7.957B,N/A,https://finance.yahoo.com/quote/SPCE?p=SPCE
71,CLF,,16.90,+0.93,+5.82%,14.959M,,8.431B,N/A,https://finance.yahoo.com/quote/CLF?p=CLF
72,ZNGA,,10.21,+0.26,+2.61%,14.987M,,11.057B,N/A,https://finance.yahoo.com/quote/ZNGA?p=ZNGA
73,M,,17.05,+0.10,+0.59%,14.557M,,5.294B,N/A,https://finance.yahoo.com/quote/M?p=M
74,TWTR,,68.46,+3.63,+5.60%,14.191M,,54.642B,N/A,https://finance.yahoo.com/quote/TWTR?p=TWTR
75,GOLD,,20.31,+0.19,+0.94%,14.449M,,35.884B,,https://finance.yahoo.com/quote/GOLD?p=GOLD
76,BABA,,240.80,+6.50,+2.77%,15.068M,,656.223B,,https://finance.yahoo.com/quote/BABA?p=BABA
77,DISCK,,56.86,+0.85,+1.52%,14.32M,,29.428B,,https://finance.yahoo.com/quote/DISCK?p=DISCK
78,ABEV,,2.7500,+0.0400,+1.48%,14.278M,,41.923B,,https://finance.yahoo.com/quote/ABEV?p=ABEV
79,TSM,,120.58,+6.75,+5.93%,14.956M,,586.426B,,https://finance.yahoo.com/quote/TSM?p=TSM
80,TME,,27.78,+0.43,+1.57%,14.16M,,46.602B,,https://finance.yahoo.com/quote/TME?p=TME
81,DVN,,24.64,+0.74,+3.10%,12.907M,,16.585B,N/A,https://finance.yahoo.com/quote/DVN?p=DVN
82,GSAT,,1.6000,+0.0700,+4.58%,13.939M,,2.685B,N/A,https://finance.yahoo.com/quote/GSAT?p=GSAT
83,SABR,,16.00,+0.55,+3.56%,13.687M,,5.077B,N/A,https://finance.yahoo.com/quote/SABR?p=SABR
84,KGC,,6.81,+0.16,+2.41%,13.799M,,8.485B,,https://finance.yahoo.com/quote/KGC?p=KGC
85,GGB,,5.03,+0.31,+6.57%,13.301M,,7.846B,,https://finance.yahoo.com/quote/GGB?p=GGB
86,PBR-A,,8.38,+0.50,+6.35%,13.338M,,52.769B,,https://finance.yahoo.com/quote/PBR-A?p=PBR-A
87,CELH,,47.37,-13.18,-21.77%,13.312M,,3.435B,,https://finance.yahoo.com/quote/CELH?p=CELH
88,SLB,,29.40,-0.55,-1.84%,13.239M,,41.109B,N/A,https://finance.yahoo.com/quote/SLB?p=SLB
89,MT,,26.77,+1.92,+7.73%,12.855M,,27.974B,N/A,https://finance.yahoo.com/quote/MT?p=MT
90,NLY,,8.61,-0.03,-0.35%,15.207M,,12.041B,N/A,https://finance.yahoo.com/quote/NLY?p=NLY
91,AZN,,48.67,-1.14,-2.29%,12.654M,,128.109B,,https://finance.yahoo.com/quote/AZN?p=AZN
92,MRK,,74.63,-0.13,-0.17%,12.374M,,188.838B,,https://finance.yahoo.com/quote/MRK?p=MRK
93,AUY,,4.4800,+0.0700,+1.59%,12.213M,,4.306B,,https://finance.yahoo.com/quote/AUY?p=AUY
94,FSR,,24.48,+0.04,+0.16%,12.311M,,6.787B,N/A,https://finance.yahoo.com/quote/FSR?p=FSR
95,BB,,10.70,+0.36,+3.48%,12.206M,,5.956B,N/A,https://finance.yahoo.com/quote/BB?p=BB
96,JBLU,,19.43,-0.47,-2.34%,11.952M,,6.142B,N/A,https://finance.yahoo.com/quote/JBLU?p=JBLU
